Periodo;Año_Mes;Ramo/Empresa;Primas de Seguros Netas;Primas Cedidas Netas;Primas Retenidas;Siniestros de Primas de Seguros Netos;Siniestros de Primas Cedidas Netos;Siniestros Retenidos;Indice de Siniestralidad Directa;Indice de Siniestralidad Retenida;Fichero;Fecha;Aux_Fecha
1;201701;Vida Individual de Largo PlazoLa Positiva Vida;1195.27;7.25;1188.02;115.26;0;115.26;9.643009529;9.701856871;01_2017;ene-17;ene-17
2;201702;Vida Individual de Largo PlazoLa Positiva Vida;2605.9;17.68;2588.22;192.52;0;192.52;7.387850647;7.438316681;02_2017;feb-17;feb-17
3;201703;Vida Individual de Largo PlazoLa Positiva Vida;3865.62;24.51;3841.11;307.57;0;307.57;7.956550308;8.0073208;03_2017;mar-17;mar-17
4;201704;Vida Individual de Largo PlazoLa Positiva Vida;5140.78;39.03;5101.75;156.86;0;156.86;3.051287937;3.074631254;04_2017;abr-17;abr-17
5;201705;Vida Individual de Largo PlazoLa Positiva Vida;6464.04;49.7;6414.34;235.05;0;235.05;3.636270815;3.664445602;05_2017;may-17;may-17
6;201706;Vida Individual de Largo PlazoLa Positiva Vida;7786.72;56.77;7729.95;370.36;0;370.36;4.756303039;4.791234096;06_2017;jun-17;jun-17
7;201707;Vida Individual de Largo PlazoLa Positiva Vida;9194.54;70.87;9123.67;510.07;0;510.07;5.54753147;5.590623072;07_2017;jul-17;jul-17
8;201708;Vida Individual de Largo PlazoLa Positiva Vida;10607.65;83.86;10523.79;872.25;0;872.25;8.222839177;8.288363793;08_2017;ago-17;ago-17
9;201709;Vida Individual de Largo PlazoLa Positiva Vida;12037.74;93.11;11944.63;936.25;0;936.25;7.77762271;7.838250327;09_2017;sep-17;sep-17
10;201710;Vida Individual de Largo PlazoLa Positiva Vida;13546.92;124.86;13422.06;1153.04;0;1153.04;8.511455002;8.590633629;10_2017;oct-17;oct-17
11;201711;Vida Individual de Largo PlazoLa Positiva Vida;15170.19;132.3;15037.89;1278.62;0;1278.62;8.428503532;8.502655625;11_2017;nov-17;nov-17
12;201712;Vida Individual de Largo PlazoLa Positiva Vida;16481.03;139.19;16341.84;1340.86;0;1340.86;8.135777922;8.205073602;12_2017;dic-17;dic-17
13;201801;Vida Individual de Largo PlazoLa Positiva Vida;1444.56;5.84;1438.72;222.18;0;222.18;15.38046187;15.44289368;01_2018;ene-18;ene-18
14;201802;Vida Individual de Largo PlazoLa Positiva Vida;2930.99;19.28;2911.71;365.54;0;365.54;12.47155398;12.55413486;02_2018;feb-18;feb-18
15;201803;Vida Individual de Largo PlazoLa Positiva Vida;4374.31;32.37;4341.94;572.68;0;572.68;13.09189335;13.18949594;03_2018;mar-18;mar-18
16;201804;Vida Individual de Largo PlazoLa Positiva Vida;5871.74;41.77;5829.97;697.41;0;697.41;11.8773992;11.96249723;04_2018;abr-18;abr-18
17;201805;Vida Individual de Largo PlazoLa Positiva Vida;7353.23;58.71;7294.52;681.38;0;681.38;9.266404016;9.340984739;05_2018;may-18;may-18
18;201806;Vida Individual de Largo PlazoLa Positiva Vida;8703.73;61.59;8642.14;801.46;0;801.46;9.208236009;9.27386041;06_2018;jun-18;jun-18
19;201807;Vida Individual de Largo PlazoLa Positiva Vida;10226.06;80.84;10145.22;889.93;0;889.93;8.702569709;8.771914261;07_2018;jul-18;jul-18
20;201808;Vida Individual de Largo PlazoLa Positiva Vida;11744.53;91.91;11652.62;980.96;0;980.96;8.352484093;8.418364282;08_2018;ago-18;ago-18
21;201809;Vida Individual de Largo PlazoLa Positiva Vida;12958.53;104.38;12854.15;1604.15;0;1604.15;12.37910473;12.4796272;09_2018;sep-18;sep-18
22;201810;Vida Individual de Largo PlazoLa Positiva Vida;14754.75;123.88;14630.87;2126.07;0;2126.07;14.40939359;14.53139834;10_2018;oct-18;oct-18
23;201811;Vida Individual de Largo PlazoLa Positiva Vida;16434.72;134.06;16300.66;1623.52;0;1623.52;9.878598479;9.959842117;11_2018;nov-18;nov-18
24;201812;Vida Individual de Largo PlazoLa Positiva Vida;18134.31;147.13;17987.18;1604.19;0;1604.19;8.846159573;8.918518634;12_2018;dic-18;dic-18
25;201901;Vida Individual de Largo PlazoLa Positiva Vida;1597.35;10.04;1587.31;55.11;0;55.11;3.45008921;3.471911599;01_2019;ene-19;ene-19
26;201902;Vida Individual de Largo PlazoLa Positiva Vida;3257.65;39.63;3218.02;262.17;0;262.17;8.047825887;8.146935072;02_2019;feb-19;feb-19
