Año_Mes;Ramo/Empresa;Primas de Seguros Netas;Primas Cedidas Netas;Primas Retenidas;Siniestros de Primas de Seguros Netos ;Siniestros de Primas Cedidas Netos;Siniestros Retenidos ;Indice de Siniestralidad Directa ;Indice de Siniestralidad Retenida ;siniestralidad_directa;siniestralidad_retenida
201701;Vida Grupo ParticularLa Positiva Vida;180.9;3.3;177.6;64.56;-1.41;65.97;35.68822554;37.14527027;0.356882255;0.371452703
201702;Vida Grupo ParticularLa Positiva Vida;301.18;6.48;294.7;390.87;-1.41;392.28;129.7795338;133.111639;1.297795338;1.33111639
201703;Vida Grupo ParticularLa Positiva Vida;660.34;11.9;648.44;558.06;-2.06;560.12;84.51100948;86.37961878;0.845110095;0.863796188
201704;Vida Grupo ParticularLa Positiva Vida;864.42;15.82;848.6;413.94;-3.59;417.53;47.88644409;49.20221541;0.478864441;0.492022154
201705;Vida Grupo ParticularLa Positiva Vida;1044.07;19.63;1024.44;742.03;0.47;741.56;71.07090521;72.38686502;0.710709052;0.72386865
201706;Vida Grupo ParticularLa Positiva Vida;1155.41;20.64;1134.77;843.6;-2.18;845.78;73.01304299;74.53316531;0.73013043;0.745331653
201707;Vida Grupo ParticularLa Positiva Vida;1474.91;32.58;1442.33;954.41;1.66;952.75;64.7097111;66.05631166;0.647097111;0.660563117
201708;Vida Grupo ParticularLa Positiva Vida;1491.87;37.36;1454.51;889.54;2714.91;891.36;59.62583871;61.28249376;0.596258387;0.612824938
201709;Vida Grupo ParticularLa Positiva Vida;1879.17;43.26;1835.91;549.83;-4.9;554.73;29.25919422;30.21553344;0.292591942;0.302155334
201710;Vida Grupo ParticularLa Positiva Vida;2042.86;47.08;1995.78;961.06;-8.67;969.73;47.04482931;48.58902284;0.470448293;0.485890228
201711;Vida Grupo ParticularLa Positiva Vida;2256.32;51.43;2204.89;1169.52;-10.36;1179.88;51.83307332;53.51196658;0.518330733;0.535119666
201712;Vida Grupo ParticularLa Positiva Vida;2377.77;64.98;2312.79;1357.85;-10.6;1368.45;57.10602792;59.16879613;0.571060279;0.591687961
201801;Vida Grupo ParticularLa Positiva Vida;-159.22;4.23;-163.45;494.94;-1.55;496.49;-310.8529079;-303.7565005;-3.108529079;-3.037565005
201802;Vida Grupo ParticularLa Positiva Vida;26.87;11.89;14.98;522.03;4.09;517.94;1942.79866;3457.543391;19.4279866;34.57543391
201803;Vida Grupo ParticularLa Positiva Vida;244.16;16.47;227.69;725.7;-2.98;728.68;297.2231324;320.0316219;2.972231324;3.200316219
201804;Vida Grupo ParticularLa Positiva Vida;523.38;21.14;502.24;879.92;2.31;877.61;168.1225878;174.7391685;1.681225878;1.747391685
201805;Vida Grupo ParticularLa Positiva Vida;793.63;10.07;783.56;1118.75;-2.98;1121.73;140.9661933;143.15815;1.409661933;1.4315815
201806;Vida Grupo ParticularLa Positiva Vida;1078.62;17.62;1061;1253.58;-2.98;1256.56;116.2207265;118.4316682;1.162207265;1.184316682
201807;Vida Grupo ParticularLa Positiva Vida;1343.38;22.43;1320.95;1382.02;-2.98;1385;102.8763269;104.8487831;1.028763269;1.048487831
201808;Vida Grupo ParticularLa Positiva Vida;1728.78;27.45;1701.33;538.51;-2.98;541.49;31.14971251;31.82745264;0.311497125;0.318274526
201809;Vida Grupo ParticularLa Positiva Vida;1875.19;32.4;1842.79;658.09;-2.98;661.07;35.09457708;35.87332252;0.350945771;0.358733225
201810;Vida Grupo ParticularLa Positiva Vida;2317.45;35.81;2281.64;440.23;-2.98;443.21;18.9963106;19.42506267;0.189963106;0.194250627
