Año_Mes;Ramo/Empresa;Primas de Seguros Netas;Primas Cedidas Netas;Primas Retenidas;Siniestros de Primas de Seguros Netos ;Siniestros de Primas Cedidas Netos;Siniestros Retenidos ;Indice de Siniestralidad Directa ;Indice de Siniestralidad Retenida 
201701;Vida Ley Trabajadores La Positiva Vida;1464.03;176.92;1287.11;1766.48;889.36;877.12;120.6587297;68.14646767
201702;Vida Ley Trabajadores La Positiva Vida;3379.52;567.28;2812.24;2447.91;1001.31;1446.6;72.43365922;51.43942196
201703;Vida Ley Trabajadores La Positiva Vida;5498.11;857.45;4640.66;4391.24;1629.87;2761.37;79.86817288;59.50382058
201704;Vida Ley Trabajadores La Positiva Vida;7387.44;1198.35;6189.09;5524.14;1891.91;3632.23;74.77746012;58.68762613
201705;Vida Ley Trabajadores La Positiva Vida;9305.67;1458.28;7847.39;6717.29;2126.79;4590.5;72.18491522;58.49715638
201706;Vida Ley Trabajadores La Positiva Vida;11370.46;1830.92;9539.54;7018.69;2128.17;4890.52;61.72740593;51.2657843
201707;Vida Ley Trabajadores La Positiva Vida;13353.32;2130.01;11223.31;7674.31;2278.92;5395.39;57.47117571;48.07307292
201708;Vida Ley Trabajadores La Positiva Vida;15390.75;2457.82;12932.93;9113.3;6072.96;6398.39;59.21283888;49.47363049
201709;Vida Ley Trabajadores La Positiva Vida;16929.59;2714.89;14214.7;10559.66;3502.98;7056.68;62.37398543;49.64353803
201710;Vida Ley Trabajadores La Positiva Vida;18205.79;2862.45;15343.34;12755.63;4033.3;8722.33;70.06358966;56.84766159
201711;Vida Ley Trabajadores La Positiva Vida;19537.98;3019.71;16518.27;13944.91;4294.3;9650.61;71.37334566;58.42385431
201712;Vida Ley Trabajadores La Positiva Vida;20766.38;3178.41;17587.97;15428.2;5078.02;10350.18;74.29412348;58.8480649
201801;Vida Ley Trabajadores La Positiva Vida;1984.14;165.24;1818.9;695.54;-174.55;870.09;35.05498604;47.83605476
201802;Vida Ley Trabajadores La Positiva Vida;3960.81;369.17;3591.64;1982.22;-186.64;2168.86;50.04582396;60.38634162
201803;Vida Ley Trabajadores La Positiva Vida;5388.82;478.84;4909.98;3588.7;274.45;3314.25;66.59528431;67.50027495
201804;Vida Ley Trabajadores La Positiva Vida;6967.79;654.79;6313;4748.53;496.47;4252.06;68.14972897;67.35403136
201805;Vida Ley Trabajadores La Positiva Vida;8437.73;810.06;7627.67;5648.75;565.5;5083.25;66.94632324;66.64223806
